query_id,anchor_id,cohort_label,icd_codes,ops_filter,diagnosis_position,department,data_year,stratifier,priority,strat_priority,status,N_result,query_datetime,notes
Q210,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2024,discharge_reason,exploratory,core,pending,,,
Q211,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2019,ops_distribution,exploratory,core,pending,,,
Q212,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2020,ops_distribution,exploratory,core,pending,,,
Q213,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2021,ops_distribution,exploratory,core,pending,,,
Q214,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2022,ops_distribution,exploratory,core,pending,,,
Q215,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2023,ops_distribution,exploratory,core,pending,,,
Q216,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2024,ops_distribution,exploratory,core,pending,,,
Q217,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2019,summary,exploratory,core,pending,,,
Q218,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2020,summary,exploratory,core,pending,,,
Q219,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2021,summary,exploratory,core,pending,,,
Q220,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2022,summary,exploratory,core,pending,,,
Q221,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2023,summary,exploratory,core,pending,,,
Q222,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2024,summary,exploratory,core,pending,,,
Q223,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2019,sex,exploratory,core,pending,,,
Q224,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2020,sex,exploratory,core,pending,,,
Q225,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2021,sex,exploratory,core,pending,,,
Q226,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2022,sex,exploratory,core,pending,,,
Q227,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2023,sex,exploratory,core,pending,,,
Q228,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2024,sex,exploratory,core,pending,,,
Q229,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2019,age_band,exploratory,core,pending,,,
Q230,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2020,age_band,exploratory,core,pending,,,
Q231,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2021,age_band,exploratory,core,pending,,,
Q232,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2022,age_band,exploratory,core,pending,,,
Q233,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2023,age_band,exploratory,core,pending,,,
Q234,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2024,age_band,exploratory,core,pending,,,
Q235,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2019,discharge_reason,exploratory,core,pending,,,
Q236,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2020,discharge_reason,exploratory,core,pending,,,
Q237,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2021,discharge_reason,exploratory,core,pending,,,
Q238,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2022,discharge_reason,exploratory,core,pending,,,
Q239,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2023,discharge_reason,exploratory,core,pending,,,
Q240,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2024,discharge_reason,exploratory,core,pending,,,
Q241,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2019,ops_distribution,exploratory,core,pending,,,
Q242,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2020,ops_distribution,exploratory,core,pending,,,
Q243,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2021,ops_distribution,exploratory,core,pending,,,
Q244,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2022,ops_distribution,exploratory,core,pending,,,
Q245,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2023,ops_distribution,exploratory,core,pending,,,
Q246,A8,Principal C70.0 (exploratory behaviour cohort — NOT a grade),C70.0,,principal,,2024,ops_distribution,exploratory,core,pending,,,
Q247,A9,Principal D32.0 restricted to Neurosurgery (FA 1700) — parallels Kamp 2024,D32.0,,principal,1700,2019,summary,exploratory,core,pending,,,
Q248,A9,Principal D32.0 restricted to Neurosurgery (FA 1700) — parallels Kamp 2024,D32.0,,principal,1700,2020,summary,exploratory,core,pending,,,
Q249,A9,Principal D32.0 restricted to Neurosurgery (FA 1700) — parallels Kamp 2024,D32.0,,principal,1700,2021,summary,exploratory,core,pending,,,
Q250,A9,Principal D32.0 restricted to Neurosurgery (FA 1700) — parallels Kamp 2024,D32.0,,principal,1700,2022,summary,exploratory,core,pending,,,
Q251,A9,Principal D32.0 restricted to Neurosurgery (FA 1700) — parallels Kamp 2024,D32.0,,principal,1700,2023,summary,exploratory,core,pending,,,
Q252,A9,Principal D32.0 restricted to Neurosurgery (FA 1700) — parallels Kamp 2024,D32.0,,principal,1700,2024,summary,exploratory,core,pending,,,
Q253,A9,Principal D32.0 restricted to Neurosurgery (FA 1700) — parallels Kamp 2024,D32.0,,principal,1700,2019,ops_distribution,exploratory,core,pending,,,
Q254,A9,Principal D32.0 restricted to Neurosurgery (FA 1700) — parallels Kamp 2024,D32.0,,principal,1700,2020,ops_distribution,exploratory,core,pending,,,
Q255,A9,Principal D32.0 restricted to Neurosurgery (FA 1700) — parallels Kamp 2024,D32.0,,principal,1700,2021,ops_distribution,exploratory,core,pending,,,
Q256,A9,Principal D32.0 restricted to Neurosurgery (FA 1700) — parallels Kamp 2024,D32.0,,principal,1700,2022,ops_distribution,exploratory,core,pending,,,
Q257,A9,Principal D32.0 restricted to Neurosurgery (FA 1700) — parallels Kamp 2024,D32.0,,principal,1700,2023,ops_distribution,exploratory,core,pending,,,
Q258,A9,Principal D32.0 restricted to Neurosurgery (FA 1700) — parallels Kamp 2024,D32.0,,principal,1700,2024,ops_distribution,exploratory,core,pending,,,
